Gender ,Gender1 ,Height ,Weight ,Weight1 ,No of People ,No of Events ,Sick,Sick1 ,Smoking ,Smoking1 ,Belief_in_Afterlife ,Belief_in_Afterlife1,Political_Ideology ,Political_Ideology1 ,Political_Party ,Political_Party1 ,Dose1,Dose2 ,Dose3 ,Dose4
Male ,1,11.81,74.51,97.03,1,3,Yes,1,Never ,1,No ,1,Slightly Conservative ,4,Kadu ,0,16,33,42,37
Male ,1,3.85,54.66,86.62,6,3,No,0,Rarely ,2,No ,1,Moderate ,3,Kanu ,1,18,35,44,42
Female ,0,6.34,61.57,92.8,6,6,Yes,1,Moderately ,3,No ,1,Slightly Conservative ,4,Kanu ,1,19,33,45,52
Male ,1,10.38,51.53,62.45,1,10,No,0,Frequently ,4,Undecided ,2,Slightly Liberal ,2,Kanu ,1,17,34,41,47
Female ,0,3.65,57.42,65.04,4,3,No,0,Never ,1,Undecided ,2,Very Liberal ,1,Kanu ,1,16,34,42,41
Male ,1,9.85,60.15,40.28,6,1,Yes,1,Never ,1,No ,1,Very Liberal ,1,Kanu ,1,20,35,44,45
Male ,1,4.66,66.77,96.03,7,1,No,0,Rarely ,2,No ,1,Moderate ,3,Kanu ,1,18,33,45,46
Male ,1,2.14,73.42,81.75,1,9,No,0,Rarely ,2,Undecided ,2,Slightly Liberal ,2,Kadu ,0,18,34,41,40
Female ,0,8.22,84.88,66.33,4,4,No,0,Rarely ,2,No ,1,Slightly Conservative ,4,Kadu ,0,16,35,43,42
Male ,1,9.08,74.15,76.13,3,2,Yes,1,Moderately ,3,Undecided ,2,Slightly Liberal ,2,Kanu ,1,16,33,41,44
Male ,1,11.71,71.36,75.17,4,10,No,0,Rarely ,2,No ,1,Moderate ,3,Kanu ,1,16,34,45,35
Male ,1,4.61,57.51,78.36,2,11,No,0,Moderately ,3,No ,1,Slightly Conservative ,4,Kadu ,0,16,35,43,44
Male ,1,10.02,61.58,64.08,5,9,No,0,Never ,1,No ,1,Slightly Conservative ,4,Kanu ,1,19,33,42,35
Male ,1,5.54,63.32,55.79,5,6,No,0,Rarely ,2,Yes ,3,Very Liberal ,1,Kadu ,0,16,34,44,35
Female ,0,7.23,82.44,39.4,5,3,No,0,Moderately ,3,Undecided ,2,Very Liberal ,1,Kanu ,1,20,34,44,35
Male ,1,6.56,77.42,45.78,3,11,No,0,Rarely ,2,Undecided ,2,Slightly Conservative ,4,Kanu ,1,21,33,45,51
Female ,0,10.22,56.69,53.53,4,5,Yes,1,Moderately ,3,No ,1,Very Liberal ,1,Kadu ,0,19,34,41,46
Female ,0,11.89,50.64,39.05,6,10,No,0,Moderately ,3,Yes ,3,Slightly Conservative ,4,Kanu ,1,17,35,43,35
Male ,1,11.18,80.49,94.03,6,3,No,0,Rarely ,2,Yes ,3,Slightly Liberal ,2,Kadu ,0,20,34,43,36
Male ,1,6.33,62.45,71.82,5,8,Yes,1,Rarely ,2,Undecided ,2,Slightly Conservative ,4,Kanu ,1,16,33,45,35
Male ,1,9.01,55.89,82.98,4,5,Yes,1,Rarely ,2,Undecided ,2,Slightly Liberal ,2,Kadu ,0,16,34,41,35
Male ,1,8.24,49.75,91.79,2,4,Yes,1,Rarely ,2,Undecided ,2,Very Liberal ,1,Kanu ,1,20,34,42,38
Male ,1,2.95,53.44,78.86,5,5,Yes,1,Never ,1,No ,1,Moderate ,3,Kanu ,1,17,34,41,38
Male ,1,7.46,85.04,70.81,6,1,Yes,1,Rarely ,2,Undecided ,2,Very Conservative ,5,Kanu ,1,17,35,45,52
Female ,0,6.72,62.48,80.31,2,11,No,0,Rarely ,2,Undecided ,2,Moderate ,3,Kanu ,1,19,33,42,47
Female ,0,7.89,63.02,83.87,6,6,Yes,1,Frequently ,4,Yes ,3,Moderate ,3,Kanu ,1,21,33,44,45
Male ,1,11.42,77.16,72.53,7,0,No,0,Frequently ,4,Yes ,3,Slightly Liberal ,2,Kanu ,1,17,34,44,45
Female ,0,11.47,85.33,84.72,3,0,No,0,Moderately ,3,Undecided ,2,Slightly Liberal ,2,Kadu ,0,18,34,44,36
Female ,0,11.89,77.7,74.19,7,10,No,0,Never ,1,No ,1,Slightly Liberal ,2,Kanu ,1,16,34,45,38
Female ,0,8.04,58.37,49.94,3,1,No,0,Frequently ,4,Undecided ,2,Slightly Liberal ,2,Kadu ,0,20,33,45,51
Female ,0,7.54,76.73,40.25,5,5,No,0,Rarely ,2,Yes ,3,Very Liberal ,1,Kanu ,1,16,35,45,49
Female ,0,2.77,74.91,36.84,4,7,No,0,Frequently ,4,Undecided ,2,Slightly Conservative ,4,Kadu ,0,16,33,43,49
Female ,0,8.65,75.16,65.4,2,2,No,0,Rarely ,2,Yes ,3,Slightly Conservative ,4,Kanu ,1,17,33,45,46
Male ,1,12.55,81.44,50.14,4,10,Yes,1,Rarely ,2,Yes ,3,Slightly Conservative ,4,Kanu ,1,16,33,44,41
Male ,1,7.37,70.15,50.32,2,9,No,0,Frequently ,4,No ,1,Slightly Liberal ,2,Kanu ,1,20,35,42,51
Male ,1,12.52,61.62,92.59,1,11,No,0,Moderately ,3,Yes ,3,Slightly Liberal ,2,Kanu ,1,20,35,43,39
Male ,1,6.53,66.85,97.57,5,6,No,0,Frequently ,4,Undecided ,2,Slightly Conservative ,4,Kanu ,1,21,35,41,49
Female ,0,11.08,66.89,94.22,3,1,No,0,Moderately ,3,Undecided ,2,Very Conservative ,5,Kanu ,1,18,35,41,39
Female ,0,3.5,55.81,92.18,4,0,Yes,1,Moderately ,3,Yes ,3,Moderate ,3,Kadu ,0,18,33,43,36
Male ,1,7.83,61.43,70.52,6,10,No,0,Frequently ,4,No ,1,Moderate ,3,Kadu ,0,20,34,45,37
